321,10
320,781
322,464
322,141
321,903
322,70
322,656
322,478
322,243
322,802
323,37
322,904
323,9
323,895
324,24
323,888
324,19
323,903
324,8
324,886
325,88
324,706
324,388
324,306
324,808
325,8
325,820
325,369
325,197
325,905
326,159
326,333
325,893
325,173
326,239
326,898
327,421
327,23
326,636
326,855
327,244
328,48
328,598
328,902
328,502
327,43
326,142
325,617
325,902
326,739
327,338
327,44
326,45
326,285
326,593
327,821
328,905
328,859
327,729
327,574
327,430
328,314
329,233
329,182
328,158
329,153
330,170
330,212
330,282
329,385
329,520
329,678
329,819
329,902
329,868
330,687
330,393
330,109
330,11
330,208
331,608
331,893
330,761
330,292
330,6
330,309
331,825
332,781
332,193
331,74
331,686
331,830
332,163
332,170
331,861
331,525
332,16
332,724
331,649
331,10
332,753
332,533
332,78
332,897
333,178
333,469
332,689
332,63
332,905
333,33
333,808
333,190
333,644
333,324
333,552
333,367
333,567
333,298
333,684
334,143
334,852
334,12
334,888
334,134
334,567
335,616
335,68
335,895
335,218
336,322
336,880
336,98
336,397
336,882
336,164
336,231
337,890
337,480
337,9
336,530
336,898
337,399
337,8
337,391
337,874
338,739
339,229
339,9
339,285
339,725
340,906
340,727
339,372
339,89
340,9
340,121
340,344
340,575
340,754
340,861
341,902
342,900
342,880
342,851
342,833
342,829
344,839
344,863
344,889
344,906
344,891
344,823
344,685
344,478
347,241
347,54
347,17
347,193
347,533
347,842
347,872
347,544
347,118
348,43
348,453
348,880
348,714
348,148
348,87
348,682
348,847
349,222
349,101
349,787
349,678
350,18
350,516
350,835
350,69
350,463
350,821
350,24
350,655
350,596
351,75
351,904
351,110
351,612
351,502
352,240
352,789
352,57
352,891
353,10
353,906
353,7
354,906
354,12
354,881
354,71
355,757
355,291
356,437
356,681
356,62
356,903
357,135
357,483
357,756
358,8
358,721
358,611
358,12
359,724
359,686
359,16
359,494
360,887
360,265
361,64
361,690
361,849
362,279
362,20
362,463
363,889
363,726
364,231
364,8
364,244
364,661
365,898
365,814
365,526
365,212
365,33
365,21
366,135
366,309
366,486
366,627
366,740
367,807
367,845
368,864
368,868
368,862
369,836
369,795
369,721
370,607
370,451
370,270
370,103
371,10
371,57
371,269
372,589
372,855
372,874
372,578
372,160
373,14
373,328
373,803
373,842
374,340
374,8
374,417
374,897
374,554
375,15
375,419
376,905
376,321
376,88
377,819
377,554
378,22
378,777
378,534
379,60
379,881
380,265
380,332
380,817
381,8
381,853
381,195
381,560
382,512
382,281
382,716
383,144
383,796
383,108
384,788
384,151
385,706
385,296
385,491
386,575
386,173
386,871
386,11
387,795
387,372
387,227
387,892
388,86
388,471
388,814
388,41
388,493
388,853
389,123
389,258
389,891
389,493
389,7
389,475
390,905
390,494
390,20
390,247
390,786
391,856
391,426
391,43
391,94
391,472
392,815
392,895
392,696
392,385
392,128
393,13
393,39
393,151
394,315
394,467
394,592
395,682
395,740
396,771
396,774
397,770
397,739
398,682
399,591
400,467
400,314
401,149
401,36
401,14
401,133
402,392
402,702
402,896
402,810
403,462
403,87
404,47
404,435
405,860
405,778
405,237
406,23
406,505
406,906
406,464
406,7
407,503
407,888
408,248
408,131
408,858
408,482
409,44
410,819
410,461
411,92
411,895
411,215
411,385
411,784
412,12
412,877
412,162
412,591
412,475
413,311
413,690
413,163
413,773
414,122
414,784
415,159
415,698
416,310
416,488
417,586
417,176
418,865
418,9
418,801
419,358
419,240
419,890
420,75
420,505
421,796
421,30
421,523
422,837
420,110
420,291
420,900
420,452
420,9
421,518
421,902
421,458
421,11
422,304
422,820
422,826
422,367
422,23
423,127
423,537
424,856
424,873
424,631
424,312
425,80
425,8
425,76
425,228
426,401
426,558
426,678
427,760
427,800
428,834
428,843
429,837
430,815
430,769
431,694
432,569
432,429
433,255
433,96
433,10
433,58
434,267
434,594
435,849
435,880
436,601
436,188
437,9
437,290
438,780
438,866
439,396
439,9
439,341
439,876
440,632
440,35
441,325
441,901
442,426
443,32
443,738
444,668
444,7
445,671
445,664
446,13
446,804
447,414
447,191
447,886
448,32
448,744
448,360
448,366
449,693
449,120
449,845
450,32
450,894
451,16
451,895
452,28
452,860
453,112
454,721
454,327
455,408
456,698
456,56
456,902
457,140
458,498
458,739
459,8
459,752
459,566
459,27
460,761
460,621
461,8
461,576
462,850
462,176
463,135
463,776
463,769
464,162
464,77
464,613
464,904
465,567
465,107
465,53
